"class","fieldtypes","rid","type","version","administrativearealevel1","administrativearealevel2","country","formattedaddress","in_drive_from","in_drive_to","in_has_address","latitude","locality","longitude","place_id","postalcode","route","slug","streetnumber"
"Address","in_drive_to=g,in_drive_from=g,latitude=d,longitude=d","#18:18","d","2","Auvergne-Rhône-Alpes","Rhône","FR","118 Voie Romaine, 69290 Craponne, France","[""#93:373""]","[""#94:114"",""#94:131"",""#94:163"",""#94:255"",""#94:313"",""#94:321"",""#94:525"",""#94:662"",""#94:746"",""#94:888"",""#94:901"",""#94:912"",""#94:933"",""#94:935"",""#94:1221"",""#94:1279"",""#94:1428"",""#95:53"",""#95:66"",""#95:565"",""#95:607"",""#95:646"",""#95:685"",""#95:771"",""#95:828"",""#95:840"",""#95:853"",""#95:873"",""#95:931"",""#95:960"",""#95:1013"",""#95:1064"",""#95:1070"",""#95:1164"",""#95:1251"",""#95:1256"",""#95:1293"",""#95:1301"",""#95:1366"",""#96:4"",""#96:104"",""#96:250"",""#96:261"",""#96:307"",""#96:323"",""#96:380"",""#96:429"",""#96:538"",""#96:568"",""#96:626"",""#96:716"",""#96:815"",""#96:1035"",""#96:1284"",""#96:1441"",""#97:6"",""#97:67"",""#97:75"",""#97:165"",""#97:207"",""#97:299"",""#97:316"",""#97:332"",""#97:344"",""#97:366"",""#97:380"",""#97:388"",""#97:423"",""#97:463"",""#97:465"",""#97:502"",""#97:515"",""#97:542"",""#97:575"",""#97:637"",""#97:680"",""#97:1009"",""#97:1038"",""#97:1386"",""#97:1409""]","null","45.7508849","Craponne","4.7405406","ChIJU57mI7Xt9EcRCMZBhXP6ReI","69290","Voie Romaine","118-voie-romaine-69290-craponne-france","118"
"Address","in_has_address=g,in_drive_from=g,in_drive_to=g,latitude=d,longitude=d","#18:19","d","2","Auvergne-Rhône-Alpes","Rhône","FR","69510 Messimy, France","[""#92:19"",""#91:47"",""#93:784"",""#91:807"",""#93:1165"",""#93:83"",""#92:611"",""#92:1371"",""#92:1031"",""#93:322"",""#92:1061""]","[]","[""#75:757"",""#77:255"",""#77:557"",""#76:805"",""#74:191"",""#77:192"",""#74:947"",""#77:953"",""#75:964""]","45.697648","Messimy","4.675516","ChIJcQh2Qszx9EcRcCG75CqrCAQ","69510","","69510-messimy-france",""
"Address","in_drive_from=g,latitude=d,longitude=d,in_has_address=g","#18:20","d","2","Auvergne-Rhône-Alpes","Rhône","FR","14 Rue des Noyers, 69005 Lyon, France","[""#91:801""]","null","[""#77:22""]","45.7530756","Lyon","4.7871572","ChIJgYpYoYnr9EcRGUI71UQ0OfI","69005","Rue des Noyers","14-rue-des-noyers-69005-lyon-france","14"
"Address","in_drive_from=g,latitude=d,longitude=d,in_has_address=g","#18:21","d","2","Auvergne-Rhône-Alpes","Rhône","FR","104 Rue Laennec, 69008 Lyon 08, France","[""#93:1105"",""#92:107"",""#91:471""]","null","[""#76:264""]","45.7352935","Lyon 08","4.888892899999999","ChIJdZ39Ku3B9EcRAK5lcbJ9cws","69008","Rue Laennec","104-rue-laennec-69008-lyon-08-france","104"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:22","d","2","Auvergne-Rhône-Alpes","Rhône","FR","63 Rue des Arpinières, 69340 Francheville, France","[""#91:64"",""#93:1150"",""#93:1364""]","null","[""#76:813""]","45.73271349999999","Francheville","4.747126199999999","ChIJmQWt5Sjs9EcRn_wGKUqCtsw","69340","Rue des Arpinières","63-rue-des-arpinieres-69340-francheville-france","63"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:23","d","2","Auvergne-Rhône-Alpes","Rhône","FR","55 Avenue Jean Mermoz, 69008 Lyon, France","null","[""#96:14"",""#95:384"",""#94:23"",""#97:34"",""#96:41"",""#94:769"",""#94:62"",""#96:83"",""#95:469"",""#97:472"",""#95:475"",""#96:144"",""#96:881"",""#95:522"",""#97:885"",""#95:1247"",""#96:893"",""#94:1349""]","null","45.7353069","Lyon","4.875869700000001","ChIJgf7ZxOPB9EcR_heBJhmMc6U","69008","Avenue Jean Mermoz","55-avenue-jean-mermoz-69008-lyon-france","55"
"Address","in_drive_from=g,latitude=d,longitude=d,in_has_address=g,in_drive_to=g","#18:24","d","2","Auvergne-Rhône-Alpes","Rhône","FR","7 Rue de Gerland, 69007 Lyon, France","[""#90:942""]","[""#94:790""]","[""#76:244""]","45.7428239","Lyon","4.8414909","ChIJ_bP2zzjq9EcRQmMlZXIBKYI","69007","Rue de Gerland","7-rue-de-gerland-69007-lyon-france","7"
"Address","in_drive_from=g,latitude=d,longitude=d,in_has_address=g","#18:25","d","2","Auvergne-Rhône-Alpes","Rhône","FR","11 Rue Jean-Marie Chevalier, 69390 Vourles, France","[]","null","[""#74:508""]","45.6623011","Vourles","4.7717375","ChIJs5weg7Lo9EcR8-Cm21l_dIo","69390","Rue Jean-Marie Chevalier","11-rue-jean-marie-chevalier-69390-vourles-france","11"
"Address","in_drive_from=g,in_has_address=g,in_drive_to=g,latitude=d,longitude=d","#18:26","d","2","Auvergne-Rhône-Alpes","Rhône","FR","69160 Tassin-la-Demi-Lune, France","[""#90:1120"",""#92:34"",""#92:808"",""#90:854"",""#93:496"",""#92:143"",""#91:511"",""#93:568"",""#93:1324"",""#90:1051"",""#90:1071""]","[""#95:783"",""#94:71"",""#97:1188"",""#97:562"",""#94:1000""]","[""#77:737"",""#76:533"",""#74:782"",""#74:558"",""#74:339"",""#76:341"",""#75:592"",""#77:349"",""#74:143"",""#74:896"",""#74:460"",""#75:963""]","45.761337","Tassin-la-Demi-Lune","4.776921","ChIJR_TCI1fs9EcRgBq75CqrCAQ","69160","null","69160-tassin-la-demi-lune-france","null"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:27","d","1","Auvergne-Rhône-Alpes","Rhône","FR","Avenue Gilbert Fabre, 69390 Millery, France","null","[]","null","45.6330798","Millery","4.7859448","ChIJZS5eURXm9EcR1yYH9ayrZnY","69390","Avenue Gilbert Fabre","avenue-gilbert-fabre-69390-millery-france","null"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:28","d","2","Auvergne-Rhône-Alpes","Rhône","FR","20 Avenue Jean Jaurès, 69600 Oullins, France","[]","null","[""#76:509""]","45.7169143","Oullins","4.8186973","ChIJh5Ebf3fp9EcRaOcztZxyatM","69600","Avenue Jean Jaurès","20-avenue-jean-jaures-69600-oullins-france","20"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:29","d","2","Auvergne-Rhône-Alpes","Rhône","FR","7 Allée Ho Chi Minh, 69700 Givors, France","[]","null","[""#77:37"",""#77:27""]","45.6063348","Givors","4.7623166","ChIJfeaz2oLm9EcRIib0Uy369iQ","69700","Allée Ho Chi Minh","7-allee-ho-chi-minh-69700-givors-france","7"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:30","d","1","Auvergne-Rhône-Alpes","Rhône","FR","7e Arrondissement, 69007 Lyon, France","null","[]","null","45.7304251","Lyon","4.8399378","ChIJ-_L7biTq9EcRIBnC5CqrCAU","69007","null","7e-arrondissement-69007-lyon-france","null"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:31","d","2","Auvergne-Rhône-Alpes","Rhône","FR","14 Chemin du Champ, 69440 Mornant, France","[]","null","[""#75:512""]","45.6282761","Mornant","4.6635188","ChIJpwRSTtv69EcRR5zmmbJN7_I","69440","Chemin du Champ","14-chemin-du-champ-69440-mornant-france","14"
"Address","in_drive_to=g,latitude=d,longitude=d,in_drive_from=g","#18:32","d","2","Auvergne-Rhône-Alpes","Rhône","FR","119 Rue Pierre Auguste Roiret, 69290 Craponne, France","[""#92:514""]","[""#94:444"",""#94:109"",""#94:874"",""#96:315""]","null","45.7513236","Craponne","4.7404179","ChIJgXrI37Tt9EcRAHUi2K8gFhY","69290","Rue Pierre Auguste Roiret","119-rue-pierre-auguste-roiret-69290-craponne-france","119"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:33","d","2","Auvergne-Rhône-Alpes","Rhône","FR","17 Boulevard des Allées Fleuries, 69530 Brignais, France","[""#93:417"",""#93:291""]","null","[""#74:792"",""#77:195""]","45.6783395","Brignais","4.7607481","EjkxNyBCb3VsZXZhcmQgZGVzIEFsbMOpZXMgRmxldXJpZXMsIDY5NTMwIEJyaWduYWlzLCBGcmFuY2UiMBIuChQKEgm1289zOu_0RxEgdbRryXyN3BARKhQKEglpGnWPOu_0RxGpxEiKJ6yo9g","69530","Boulevard des Allées Fleuries","17-boulevard-des-allees-fleuries-69530-brignais-france","17"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:34","d","2","Auvergne-Rhône-Alpes","Rhône","FR","5 Place d'Arsonval, 69003 Lyon, France","null","[""#94:164"",""#94:387"",""#94:396"",""#94:405"",""#94:483"",""#94:499"",""#94:524"",""#94:753"",""#94:857"",""#94:870"",""#94:1096"",""#94:1117"",""#94:1137"",""#94:1243"",""#95:20"",""#95:63"",""#95:129"",""#95:134"",""#95:177"",""#95:371"",""#95:374"",""#95:400"",""#95:524"",""#95:729"",""#95:743"",""#95:764"",""#95:807"",""#95:876"",""#95:879"",""#95:1094"",""#95:1117"",""#95:1205"",""#96:20"",""#96:35"",""#96:36"",""#96:37"",""#96:51"",""#96:56"",""#96:62"",""#96:103"",""#96:130"",""#96:150"",""#96:178"",""#96:461"",""#96:806"",""#96:823"",""#96:824"",""#96:1162"",""#97:100"",""#97:103"",""#97:175"",""#97:464"",""#97:483"",""#97:736"",""#97:782"",""#97:866"",""#97:900"",""#97:1117"",""#97:1119"",""#97:1204""]","null","45.74363950000001","Lyon","4.8823655","ChIJPwA8Ud3B9EcRUiACOorB8ds","69003","Place d'Arsonval","5-place-darsonval-69003-lyon-france","5"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:35","d","1","Auvergne-Rhône-Alpes","Rhône","FR","3 Rue Baudrand, 69540 Irigny, France","null","[]","null","45.6732754","Irigny","4.823228500000001","ChIJK1r3k1zo9EcR2JuDlY-z22c","69540","Rue Baudrand","3-rue-baudrand-69540-irigny-france","3"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:36","d","2","Auvergne-Rhône-Alpes","Rhône","FR","47 Rue Commandant Charcot, 69110 Sainte-Foy-lès-Lyon, France","null","[""#96:723"",""#95:747"",""#95:58"",""#97:1147"",""#97:98"",""#97:1292"",""#94:1296""]","null","45.7500834","Sainte-Foy-lès-Lyon","4.798580400000001","ChIJnR6SuJPr9EcRNMoKSDAUlz0","69110","Rue Commandant Charcot","47-rue-commandant-charcot-69110-sainte-foy-les-lyon-france","47"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:37","d","2","Auvergne-Rhône-Alpes","Rhône","FR","54 Avenue Maréchal Foch, 69230 Saint-Genis-Laval, France","[]","null","[""#75:244""]","45.69164689999999","Saint-Genis-Laval","4.789415599999999","ChIJXalKPSfp9EcRhyOCXr6zFj0","69230","Avenue Maréchal Foch","54-avenue-marechal-foch-69230-saint-genis-laval-france","54"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:38","d","1","Auvergne-Rhône-Alpes","Rhône","FR","Rue Jean-Baptiste Perret, 69450 Collonges-au-Mont-d'Or, France","null","[]","null","45.8181446","Collonges-au-Mont-d'Or","4.8370973","ChIJra8KDN-U9EcRgc8a_2PDLt8","69450","Rue Jean-Baptiste Perret","rue-jean-baptiste-perret-69450-collonges-au-mont-dor-france","null"
"Address","in_drive_from=g,latitude=d,longitude=d,in_has_address=g","#18:39","d","2","Auvergne-Rhône-Alpes","Rhône","FR","Clos du Grand Pré, 69510 Messimy, France","[""#90:936""]","null","[""#77:243""]","45.697733","Messimy","4.684209","ChIJ8yT1jtPx9EcREQzrykBLaxo","69510","Clos du Grand Pré","clos-du-grand-pre-69510-messimy-france","null"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:40","d","2","Auvergne-Rhône-Alpes","Rhône","FR","11 Rue de la Mairie, 69410 Champagne-au-Mont-d'Or, France","null","[""#95:798""]","null","45.79412250000001","Champagne-au-Mont-d'Or","4.7902369","ChIJk0Cz36fs9EcRjAxuNuS5VXA","69410","Rue de la Mairie","11-rue-de-la-mairie-69410-champagne-au-mont-dor-france","11"
"Address","in_drive_from=g,latitude=d,longitude=d,in_has_address=g","#18:41","d","2","Auvergne-Rhône-Alpes","Rhône","FR","61 Chemin de l'Aigas, 69160 Tassin-la-Demi-Lune, France","[""#91:49""]","null","[""#74:498""]","45.7620239","Tassin-la-Demi-Lune","4.746252999999999","ChIJZYvHnVPs9EcR8-hyjrZzUho","69160","Chemin de l'Aigas","61-chemin-de-laigas-69160-tassin-la-demi-lune-france","61"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:42","d","1","Auvergne-Rhône-Alpes","Rhône","FR","13 Avenue Victor Hugo, 69160 Tassin-la-Demi-Lune, France","null","[]","null","45.772122","Tassin-la-Demi-Lune","4.7914813","ChIJm0w5RXzr9EcR2S3G-txT3dc","69160","Avenue Victor Hugo","13-avenue-victor-hugo-69160-tassin-la-demi-lune-france","13"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:43","d","2","Auvergne-Rhône-Alpes","Rhône","FR","12 Impasse Léonie Rolland, 69630 Chaponost, France","[]","null","[""#74:277""]","45.7106103","Chaponost","4.7452109","EjMxMiBJbXBhc3NlIEzDqW9uaWUgUm9sbGFuZCwgNjk2MzAgQ2hhcG9ub3N0LCBGcmFuY2UiGhIYChQKEgkRBcOs8u70RxGOqwHxbqiMahAM","69630","Impasse Léonie Rolland","12-impasse-leonie-rolland-69630-chaponost-france","12"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:44","d","2","Auvergne-Rhône-Alpes","Rhône","FR","Rue de l'Église, 69700 Saint-Romain-en-Gier, France","[]","null","[""#75:759"",""#75:39""]","45.5658938","Saint-Romain-en-Gier","4.706331899999999","EjRSdWUgZGUgbCfDiWdsaXNlLCA2OTcwMCBTYWludC1Sb21haW4tZW4tR2llciwgRnJhbmNlIi4qLAoUChIJY-9tr3bj9EcRGR7YAY2dW6ASFAoSCVdcHWl04_RHEQAbu-QqqwgE","69700","Rue de l'Église","rue-de-leglise-69700-saint-romain-en-gier-france","null"
"Address","latitude=d,longitude=d,in_has_address=g","#18:45","d","2","Auvergne-Rhône-Alpes","Rhône","FR","14 Boulevard John Fitzgerald Kennedy, 69600 Oullins, France","null","null","[""#75:28""]","45.7191159","Oullins","4.7917609","ChIJv1Zew1rp9EcR71i8a-tJm3I","69600","Boulevard John Fitzgerald Kennedy","14-boulevard-john-fitzgerald-kennedy-69600-oullins-france","14"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:46","d","1","Auvergne-Rhône-Alpes","Rhône","FR","472 Rue Barthélemy Thimonnier, 69530 Brignais, France","null","[]","null","45.6844639","Brignais","4.7670723","ChIJJ1ATkS7v9EcR-pDJd3iOBR4","69530","Rue Barthélemy Thimonnier","472-rue-barthelemy-thimonnier-69530-brignais-france","472"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:47","d","2","Auvergne-Rhône-Alpes","Rhône","FR","33 Rue Antoine Vallas, 69290 Craponne, France","[""#93:33"",""#93:701"",""#91:1433""]","null","[""#76:470""]","45.7412055","Craponne","4.7207115","ChIJD40e3cLt9EcRMj3H-5BVou4","69290","Rue Antoine Vallas","33-rue-antoine-vallas-69290-craponne-france","33"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:48","d","2","Auvergne-Rhône-Alpes","Rhône","FR","13 Rue Mère Elise Rivet, 69530 Brignais, France","[""#90:7"",""#93:19"",""#92:758"",""#91:54"",""#91:789"",""#90:797"",""#91:449"",""#90:603"",""#91:603""]","null","[""#74:284""]","45.6814113","Brignais","4.7636965","ChIJYzWaIDDv9EcR66WLbBrynWw","69530","Rue Mère Elise Rivet","13-rue-mere-elise-rivet-69530-brignais-france","13"
"Address","in_drive_from=g,latitude=d,longitude=d","#18:49","d","1","Auvergne-Rhône-Alpes","Rhône","FR","6 Impasse des Troignes, 69290 Craponne, France","[]","null","null","45.74493229999999","Craponne","4.7337675","ChIJK8gsMMnt9EcRSCWrbBlqPbs","69290","Impasse des Troignes","6-impasse-des-troignes-69290-craponne-france","6"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:50","d","2","Auvergne-Rhône-Alpes","Rhône","FR","9 Chemin du Vincent, 69510 Messimy, France","[""#90:733""]","null","[""#77:484""]","45.700139","Messimy","4.6761955","ChIJOX9bkc7x9EcRDP8ILPt9Xtg","69510","Chemin du Vincent","9-chemin-du-vincent-69510-messimy-france","9"
"Address","latitude=d,longitude=d,in_has_address=g","#18:51","d","2","Auvergne-Rhône-Alpes","Rhône","FR","633 Route de Saint-Vincent, 69440 Saint-Laurent-d'Agny, France","null","null","[""#74:485""]","45.64306699999999","Saint-Laurent-d'Agny","4.677670899999999","ChIJc05YkLP69EcRTa6MM2_JHks","69440","Route de Saint-Vincent","633-route-de-saint-vincent-69440-saint-laurent-dagny-france","633"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:52","d","2","Auvergne-Rhône-Alpes","Rhône","FR","1 Avenue Rosa Parks, 69009 Lyon-9E-Arrondissement, France","[""#92:1091""]","null","[""#76:5""]","45.7863443","Lyon-9E-Arrondissement","4.7947374","ChIJbSOraF7r9EcRR9ZzqEDYnkE","69009","Avenue Rosa Parks","1-avenue-rosa-parks-69009-lyon-9e-arrondissement-france","1"
"Address","in_drive_to=g,in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:53","d","2","Auvergne-Rhône-Alpes","Rhône","FR","1 Rue Robespierre, 69700 Givors, France","[""#90:50""]","[""#94:773"",""#96:1150"",""#97:428"",""#96:822""]","[""#75:274""]","45.58669090000001","Givors","4.7710877","ChIJRTe1cLrm9EcRdZpes5x8ejk","69700","Rue Robespierre","1-rue-robespierre-69700-givors-france","1"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:54","d","2","Auvergne-Rhône-Alpes","Rhône","FR","3 Rue Chaude, 69390 Millery, France","[]","null","[""#74:766""]","45.6317568","Millery","4.7826475","ChIJuZYhGmvm9EcRzYK995AAQ9w","69390","Rue Chaude","3-rue-chaude-69390-millery-france","3"
"Address","in_has_address=g,in_drive_from=g,latitude=d,longitude=d","#18:55","d","2","Auvergne-Rhône-Alpes","Rhône","FR","4 Rue des Landes, 69290 Craponne, France","[""#92:730"",""#91:41""]","null","[""#77:547""]","45.74786879999999","Craponne","4.729251399999999","ChIJT7Ymwcft9EcRxk-r1MEFQBk","69290","Rue des Landes","4-rue-des-landes-69290-craponne-france","4"
"Address","in_drive_to=g,in_has_address=g,latitude=d,longitude=d","#18:56","d","2","Auvergne-Rhône-Alpes","Rhône","FR","282 Chemin de Fontanières, 69350 La Mulatière, France","null","[""#95:466""]","[]","45.7244961","La Mulatière","4.8111392","ChIJ5cOsIGPp9EcRlYgVXNwHX8w","69350","Chemin de Fontanières","282-chemin-de-fontanieres-69350-la-mulatiere-france","282"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:57","d","2","Auvergne-Rhône-Alpes","Rhône","FR","1 Allée Jean Moulin, 69700 Givors, France","[""#91:4""]","null","[""#75:246"",""#75:499""]","45.6066827","Givors","4.764852099999999","ChIJu2VfQoPm9EcRbKcns6eAxAA","69700","Allée Jean Moulin","1-allee-jean-moulin-69700-givors-france","1"
